"","log2FoldChange","padj"
"LFT_01209",3.35493888403275,5.07181650981354e-19
"LFT_00784",2.61177901249075,3.33211286708195e-18
"LFT_00628",-3.01575026784521,1.2578974502764e-16
"LFT_00405",-2.02905468211095,3.09993917788455e-16
"LFT_01783",-2.1356686245495,4.91305483031539e-16
"LFT_01214",3.10752480855249,5.09764243058174e-15
"LFT_01195",2.5006408329865,7.80410016134722e-15
"LFT_00544",-4.54286213676794,1.07168954028015e-14
"LFT_01293",-1.41687002087217,1.19048325956854e-14
"LFT_00231",2.71587971660744,1.69095850103556e-14
"LFT_00892",-1.49129384150744,2.00051911059068e-14
"LFT_01563",1.5705451428602,5.47287523301799e-14
"LFT_01901",-1.35339579467858,5.47287523301799e-14
"LFT_00380",-1.41517690165929,1.44937137803472e-13
"LFT_02510",1.23938210331751,1.44937137803472e-13
"LFT_01191",2.97835019200001,2.3088399937998e-13
"LFT_00927",-1.48938869038666,3.40182037122839e-13
"LFT_01200",2.29545710034714,3.40218300493393e-13
"LFT_01793",-1.48959713475812,3.70741365707803e-13
"LFT_00490",2.64599268505976,5.57101935335263e-13
"LFT_00187",2.53742249858528,1.18038189673856e-12
"LFT_00761",3.44091871468184,1.26363606146721e-12
"LFT_00300",2.15244027187113,2.25568297125295e-12
"LFT_01911",-1.24984052860701,2.53386591923651e-12
"LFT_00706",-1.68701298254452,5.20409039547278e-12
"LFT_01584",-1.01795905946352,6.04777733442793e-12
"LFT_02026",2.05275049520182,6.82702042340265e-12
"LFT_00546",1.7248151914578,6.91825403522025e-12
"LFT_01193",3.24225308853836,1.97742931079938e-11
"LFT_00765",4.17589328597702,1.98753416620489e-11
"LFT_01192",2.79493583066691,2.81760791792423e-11
"LFT_00783",2.47977890139936,3.48534012883704e-11
"LFT_00779",2.38987068316958,5.77910975269724e-11
"LFT_00186",1.54697229515278,6.01788392547936e-11
"LFT_00758",1.4052842626178,7.27073179056086e-11
"LFT_00219",1.47761533388395,8.37769626582264e-11
"LFT_00743",-3.10888414494115,1.01885967182592e-10
"LFT_00604",1.91321855688591,1.73593142025639e-10
"LFT_02565",-1.25182685122989,4.04745328760149e-10
"LFT_00760",2.99949706765802,5.76444370018388e-10
"LFT_00773",3.0182157786285,5.96775275027278e-10
"LFT_00389",-1.15864017113101,1.13992414166456e-09
"LFT_01207",2.77883478166244,1.31002035169904e-09
"LFT_01521",2.46808689948674,1.63088196476683e-09
"LFT_01043",-0.959830853950203,1.72084362751688e-09
"LFT_00679",-1.08930608153973,1.72500827089379e-09
